codigo;nome;dengue_2018;dengue_2019
310010;AbadiadosDourados;3;70
310020;Abaeté;2;83
310030;AbreCampo;1;30
310040;Acaiaca;2;12
310050;Açucena;2;1
310060;ÁguaBoa;2;126
310070;ÁguaComprida;4;21
310080;Aguanil;3;3
310090;ÁguasFormosas;2;114
310100;ÁguasVermelhas;3;9
310110;Aimorés;13;109
310120;Aiuruoca;0;0
310130;Alagoa;0;0
310140;Albertina;0;0
310150;AlémParaíba;8;13
310160;Alfenas;131;688
310163;AlfredoVasconcelos;0;2
310170;Almenara;1;131
310180;Alpercata;0;0
310190;Alpinópolis;2;157
310200;Alterosa;3;7
310205;AltoCaparaó;0;0
315350;AltoJequitibá;0;5
310210;AltoRioDoce;0;1
310220;Alvarenga;16;243
310230;Alvinópolis;15;298
310240;AlvoradadeMinas;0;5
310250;AmparodoSerra;0;1
310260;Andradas;2;32
310280;Andrelândia;0;2
310285;Angelândia;0;42
310290;AntônioCarlos;0;2
310300;AntônioDias;28;25
310310;AntônioPradodeMinas;0;2
310320;Araçaí;0;5
310330;Aracitaba;1;1
310340;Araçuaí;40;256
310350;Araguari;61;2699
310360;Arantina;0;1
310370;Araponga;0;3
310375;Araporã;47;97
310380;Arapuá;1;42
310390;Araújos;60;146
310400;Araxá;85;1171
310410;Arceburgo;7;85
310420;Arcos;656;3294
310430;Areado;1;29
310440;Argirita;0;1
310445;Aricanduva;0;5
310450;Arinos;46;193
310460;AstolfoDutra;6;31
310470;Ataléia;1;9
310480;AugustodeLima;3;156
310490;Baependi;0;3
310500;Baldim;0;85
310510;Bambuí;12;190
310520;Bandeira;0;34
310530;BandeiradoSul;0;1
310540;BarãodeCocais;2;265
310550;BarãodeMonteAlto;12;4
310560;Barbacena;28;55
310570;BarraLonga;1;2
310590;Barroso;7;48
310600;BelaVistadeMinas;1;135
310610;BelmiroBraga;1;5
310620;BeloHorizonte;1014;124589
310630;BeloOriente;235;127
310640;BeloVale;16;166
310650;Berilo;0;63
310665;Berizal;0;0
310660;Bertópolis;0;3
310670;Betim;464;49834
310680;BiasFortes;0;0
310690;Bicas;1;126
310700;Biquinhas;2;1
310710;BoaEsperança;2;626
310720;BocainadeMinas;0;0
310730;Bocaiúva;427;2816
310740;BomDespacho;18;212
310750;BomJardimdeMinas;0;0
310760;BomJesusdaPenha;1;5
310770;BomJesusdoAmparo;6;199
310780;BomJesusdoGalho;3;62
310790;BomRepouso;0;0
310800;BomSucesso;20;13
310810;Bonfim;15;51
310820;BonfinópolisdeMinas;0;79
310825;BonitodeMinas;1;207
310830;BordadaMata;1;2
310840;Botelhos;1;1
310850;Botumirim;8;48
310870;BrásPires;0;11
310855;BrasilândiadeMinas;93;95
310860;BrasíliadeMinas;3;1282
310880;Braúnas;1;3
310890;Brazópolis;0;3
310900;Brumadinho;23;1133
310910;BuenoBrandão;0;0
310920;Buenópolis;9;210
310925;Bugre;0;5
310930;Buritis;2;513
310940;Buritizeiro;27;513
310945;CabeceiraGrande;11;142
310950;CaboVerde;0;2
310960;CachoeiradaPrata;0;15
310970;CachoeiradeMinas;0;4
310270;CachoeiradePajeú;0;1
310980;CachoeiraDourada;12;38
310990;Caetanópolis;27;55
311000;Caeté;12;974
311010;Caiana;0;0
311020;Cajuri;0;2
311030;Caldas;0;1
311040;Camacho;0;1
311050;Camanducaia;0;3
311060;Cambuí;0;3
311070;Cambuquira;2;2
311080;Campanário;6;19
311090;Campanha;14;7
311100;Campestre;0;2
311110;CampinaVerde;244;270
311115;CampoAzul;1;106
311120;CampoBelo;7;532
311130;CampodoMeio;2;45
311140;CampoFlorido;3;157
311150;CamposAltos;117;50
311160;CamposGerais;0;374
311190;CanaVerde;0;8
311170;Canaã;0;0
311180;Canápolis;82;296
311200;Candeias;8;230
311205;Cantagalo;0;50
311210;Caparaó;0;1
311220;CapelaNova;0;1
311230;Capelinha;1;30
311240;Capetinga;0;86
311250;CapimBranco;1;528
311260;Capinópolis;124;402
311265;CapitãoAndrade;1;3
311270;CapitãoEnéas;18;199
311280;Capitólio;0;164
311290;Caputira;0;24
311300;Caraí;2;34
311310;Caranaíba;0;0
311320;Carandaí;5;57
311330;Carangola;3;182
311340;Caratinga;17;29
311350;Carbonita;0;38
311360;Careaçu;0;16
311370;CarlosChagas;7;48
311380;Carmésia;1;3
311390;CarmodaCachoeira;3;0
311400;CarmodaMata;3;18
311410;CarmodeMinas;0;1
311420;CarmodoCajuru;5;268
311430;CarmodoParanaíba;3;249
311440;CarmodoRioClaro;4;117
311450;CarmópolisdeMinas;4;404
311455;Carneirinho;2;120
311460;Carrancas;0;2
311470;Carvalhópolis;0;1
311480;Carvalhos;0;1
311490;CasaGrande;1;0
311500;CascalhoRico;3;23
311510;Cássia;3;188
311530;Cataguases;13;55
311535;CatasAltas;0;2
311540;CatasAltasdaNoruega;0;3
311545;Catuji;1;2
311547;Catuti;46;144
311550;Caxambu;2;20
311560;CedrodoAbaeté;1;4
311570;CentraldeMinas;1;4
311580;Centralina;65;240
311590;Chácara;0;46
311600;Chalé;0;11
311610;ChapadadoNorte;0;2
311615;ChapadaGaúcha;10;278
311620;Chiador;0;0
311630;Cipotânea;0;5
311640;Claraval;1;29
311650;ClarodosPoções;5;242
311660;Cláudio;3;63
311670;Coimbra;0;28
311680;Coluna;0;83
311690;ComendadorGomes;1;16
311700;Comercinho;0;4
311710;ConceiçãodaAparecida;3;8
311520;ConceiçãodaBarradeMinas;2;2
311730;ConceiçãodasAlagoas;171;451
311720;ConceiçãodasPedras;1;2
311740;ConceiçãodeIpanema;0;0
311750;ConceiçãodoMatoDentro;7;420
311760;ConceiçãodoPará;2;54
311770;ConceiçãodoRioVerde;1;0
311780;ConceiçãodosOuros;0;2
311783;CônegoMarinho;2;385
311787;Confins;1;10
311790;Congonhal;0;3
311800;Congonhas;5;300
311810;CongonhasdoNorte;0;4
311820;Conquista;12;181
311830;ConselheiroLafaiete;36;562
311840;ConselheiroPena;21;77
311850;Consolação;0;0
311860;Contagem;657;44996
311870;Coqueiral;2;14
311880;CoraçãodeJesus;16;789
311890;Cordisburgo;1;287
311900;Cordislândia;0;2
311910;Corinto;11;1044
311920;Coroaci;0;22
311930;Coromandel;7;354
311940;CoronelFabriciano;3230;533
311950;CoronelMurta;0;7
311960;CoronelPacheco;0;25
311970;CoronelXavierChaves;1;4
311980;CórregoDanta;0;1
311990;CórregodoBomJesus;0;1
311995;CórregoFundo;2;25
312000;CórregoNovo;0;0
312010;CoutodeMagalhãesdeMinas;0;188
312015;Crisólita;3;12
312020;Cristais;0;662
312030;Cristália;10;27
312040;CristianoOtoni;0;1
312050;Cristina;1;0
312060;Crucilândia;0;49
312070;CruzeirodaFortaleza;2;67
312080;Cruzília;0;2
312083;Cuparaque;29;51
312087;CurraldeDentro;1;47
312090;Curvelo;25;3922
312100;Datas;1;34
312110;DelfimMoreira;1;0
312120;Delfinópolis;0;82
312125;Delta;127;335
312130;Descoberto;2;45
312140;DesterrodeEntreRios;0;19
312150;DesterrodoMelo;0;26
312160;Diamantina;32;1128
312170;DiogodeVasconcelos;0;0
312180;Dionísio;0;103
312190;Divinésia;5;0
312200;Divino;0;44
312210;DivinodasLaranjeiras;1;0
312220;DivinolândiadeMinas;0;1
312230;Divinópolis;76;4194
312235;DivisaAlegre;0;81
312240;DivisaNova;16;11
312245;Divisópolis;0;2
312247;DomBosco;1;113
312250;DomCavati;2;3
312260;DomJoaquim;0;7
312270;DomSilvério;0;44
312280;DomViçoso;0;0
312290;DonaEusébia;3;16
312300;DoresdeCampos;0;60
312310;DoresdeGuanhães;0;0
312320;DoresdoIndaiá;65;45
312330;DoresdoTurvo;0;2
312340;Doresópolis;1;9
312350;Douradoquara;0;25
312352;Durandé;0;0
312360;ElóiMendes;0;50
312370;EngenheiroCaldas;1;4
312380;EngenheiroNavarro;0;136
312385;EntreFolhas;2;92
312390;EntreRiosdeMinas;0;38
312400;Ervália;0;2
312410;Esmeraldas;8;2553
312420;EsperaFeliz;3;6
312430;Espinosa;12;685
312440;EspíritoSantodoDourado;0;0
312450;Estiva;2;0
312460;EstrelaDalva;0;0
312470;EstreladoIndaiá;54;83
312480;EstreladoSul;6;72
312490;Eugenópolis;5;154
312500;EwbankdaCâmara;0;9
312510;Extrema;0;0
312520;Fama;2;2
312530;FariaLemos;0;0
312540;FelíciodosSantos;0;6
312560;Felisburgo;1;6
312570;Felixlândia;14;727
312580;FernandesTourinho;1;8
312590;Ferros;1;136
312595;Fervedouro;0;64
312600;Florestal;3;311
312610;Formiga;28;1295
312620;Formoso;1;84
312630;FortalezadeMinas;0;61
312640;FortunadeMinas;2;14
312650;FranciscoBadaró;0;348
312660;FranciscoDumont;2;230
312670;FranciscoSá;46;493
312675;Franciscópolis;2;29
312680;FreiGaspar;0;31
312690;FreiInocêncio;0;0
312695;FreiLagonegro;0;5
312700;Fronteira;21;364
312705;FronteiradosVales;1;1
312707;FrutadeLeite;1;97
312710;Frutal;93;1619
312720;Funilândia;0;246
312730;Galiléia;2;0
312733;Gameleiras;50;189
312735;Glaucilândia;19;109
312737;Goiabeira;20;8
312738;Goianá;2;57
312740;Gonçalves;0;0
312750;Gonzaga;0;66
312760;Gouveia;3;218
312770;GovernadorValadares;182;704
312780;GrãoMogol;0;92
312790;Grupiara;1;104
312800;Guanhães;4;41
312810;Guapé;2;46
312820;Guaraciaba;1;6
312825;Guaraciama;78;99
312830;Guaranésia;2;715
312840;Guarani;97;298
312850;Guarará;1;8
312860;Guarda0Mor;15;433
312870;Guaxupé;29;169
312880;Guidoval;49;2
312890;Guimarânia;2;72
312900;Guiricema;88;20
312910;Gurinhatã;33;89
312920;Heliodora;0;0
312930;Iapu;0;6
312940;Ibertioga;0;0
312950;Ibiá;4;153
312960;Ibiaí;22;146
312965;Ibiracatu;30;173
312970;Ibiraci;6;74
312980;Ibirité;34;7785
312990;IbitiúradeMinas;0;0
313000;Ibituruna;0;1
313005;IcaraídeMinas;45;42
313010;Igarapé;8;2604
313020;Igaratinga;16;193
313030;Iguatama;25;200
313040;Ijaci;1;12
313050;Ilicínea;1;5
313055;ImbédeMinas;6;14
313060;Inconfidentes;1;11
313065;Indaiabira;1;52
313070;Indianópolis;2;163
313080;Ingaí;0;0
313090;Inhapim;6;5
313100;Inhaúma;0;80
313110;Inimutaba;1;89
313115;Ipaba;151;106
313120;Ipanema;0;110
313130;Ipatinga;2103;1281
313140;Ipiaçu;6;135
313150;Ipuiúna;1;6
313160;IraídeMinas;2;57
313170;Itabira;34;429
313180;Itabirinha;0;34
313190;Itabirito;4;78
313200;Itacambira;0;14
313210;Itacarambi;12;269
313220;Itaguara;1;313
313230;Itaipé;1;7
313240;Itajubá;5;71
313250;Itamarandiba;4;136
313260;ItamaratideMinas;0;0
313270;Itambacuri;37;612
313280;ItambédoMatoDentro;0;0
313290;Itamogi;0;5
313300;Itamonte;0;3
313310;Itanhandu;1;2
313320;Itanhomi;0;7
313330;Itaobim;0;6
313340;Itapagipe;14;187
313350;Itapecerica;34;150
313360;Itapeva;1;0
313370;Itatiaiuçu;1;639
313375;ItaúdeMinas;13;194
313380;Itaúna;22;727
313390;Itaverava;0;3
313400;Itinga;0;13
313410;Itueta;2;166
313420;Ituiutaba;699;2346
313430;Itumirim;0;1
313440;Iturama;43;511
313450;Itutinga;1;3
313460;Jaboticatubas;5;536
313470;Jacinto;64;5
313480;Jacuí;0;6
313490;Jacutinga;0;4
313500;Jaguaraçu;10;4
313505;Jaíba;8;162
313507;Jampruca;1;20
313510;Janaúba;1526;1639
313520;Januária;24;976
313530;Japaraíba;1;55
313535;Japonvar;14;714
313540;Jeceaba;3;94
313545;JenipapodeMinas;0;10
313550;Jequeri;0;12
313560;Jequitaí;0;146
313570;Jequitibá;0;100
313580;Jequitinhonha;0;4
313590;Jesuânia;0;1
313600;Joaíma;0;10
