codigo;nome;pop_2018;pop_2019
310010;Abadia dos Dourados;6972;6989
310020;Abaet;23223;23237
310030;Abre Campo;13465;13454
310040;Acaiaca;3994;3994
310050;A‡ucena;9575;9470
310060;µgua Boa;13600;13735
310070;µgua Comprida;2005;1999
310080;Aguanil;4448;4486
310090;µguas Formosas;19166;19207
310100;µguas Vermelhas;13477;13539
310110;Aimors;25193;25167
310120;Aiuruoca;6032;6003
310130;Alagoa;2683;2674
310140;Albertina;3003;3007
310150;Alm Para¡ba;35321;35362
310160;Alfenas;79481;79996
310163;Alfredo Vasconcelos;6831;6907
310170;Almenara;41642;41896
310180;Alpercata;7411;7424
310190;Alpin¢polis;19745;19853
310200;Alterosa;14414;14466
310205;Alto Capara¢;5799;5847
315350;Alto Rio Doce;11146;11000
310210;Alvarenga;3973;3907
310220;Alvin¢polis;15239;15203
310230;Alvorada de Minas;3606;3606
310240;Amparo do Serra;4751;4713
310250;Andradas;40747;41077
310260;Cachoeira de Paje£;9382;9412
310280;Andrelƒndia;12242;12224
310285;Angelƒndia;8481;8520
310290;Ant“nio Carlos;11432;11445
310300;Ant“nio Dias;9363;9318
310310;Ant“nio Prado de Minas;1609;1598
310320;Ara‡a¡;2341;2347
310330;Aracitaba;2066;2063
310340;Ara‡ua¡;36705;36708
310350;Araguari;116691;117267
310360;Arantina;2804;2795
310370;Araponga;8425;8439
310375;AraporÆ;6804;6869
310380;Arapu ;2833;2834
310390;Ara£jos;9142;9273
310400;Arax ;105083;106229
310410;Arceburgo;10657;10772
310420;Arcos;39793;40092
310430;Areado;14955;15070
310440;Argirita;2751;2727
310445;Aricanduva;5191;5231
310450;Arinos;17888;17875
310460;Astolfo Dutra;14085;14179
310470;Atalia;13064;12868
310480;Augusto de Lima;4888;4869
310490;Baependi;19094;19148
310500;Baldim;7851;7826
310510;Bambu¡;23757;23829
310520;Bandeira;4825;4795
310530;Bandeira do Sul;5713;5746
310540;BarÆo de Cocais;32319;32485
310550;BarÆo de Monte Alto;5443;5397
310560;Barbacena;136392;137313
310570;Barra Longa;5250;5131
310590;Barroso;20720;20810
310600;Bela Vista de Minas;10248;10255
310610;Belmiro Braga;3433;3429
310620;Belo Horizonte;2501576;2512070
310630;Belo Oriente;26396;26700
310640;Belo Vale;7710;7715
310650;Berilo;11995;11932
310665;Bert¢polis;4602;4604
310660;Berizal;4705;4735
310670;Betim;432575;439340
310680;Bias Fortes;3430;3379
310690;Bicas;14431;14494
310700;Biquinhas;2532;2515
310710;Boa Esperan‡a;40031;40127
310720;Bocaina de Minas;5091;5090
310730;Bocai£va;49942;49979
310740;Bom Despacho;50166;50605
310750;Bom Jardim de Minas;6489;6474
310760;Bom Jesus da Penha;4190;4217
310770;Bom Jesus do Amparo;6031;6083
310780;Bom Jesus do Galho;15010;14935
310790;Bom Repouso;10558;10547
310800;Bom Sucesso;17598;17603
310810;Bonfim;6876;6868
310820;Bonfin¢polis de Minas;5544;5493
310825;Bonito de Minas;11088;11230
310830;Borda da Mata;19202;19412
310840;Botelhos;14995;14971
310850;Botumirim;6350;6319
310870;Brasilƒndia de Minas;16321;16538
310855;Bras¡lia de Minas;32288;32347
310860;Br s Pires;4374;4333
310880;Bra£nas;4835;4801
310890;Braz¢polis;14508;14459
310900;Brumadinho;39520;40103
310910;Bueno BrandÆo;11010;11001
310920;Buen¢polis;10377;10365
